review,cleaned_review,cleaned_review_stemmed,review_text,rating,author,date,nama desa wisata,provinsi
"Penduduk sekitar ramah, budayanya luar biasa.",penduduk ramah budayanya,duduk ramah budaya,"Penduduk sekitar ramah, budayanya luar biasa.",5,Suyata Adelina Tanjung,2019-11-09T08:18:59.701Z,Desa Wisata Setulang,Kalimantan Utara
Nicee...,nicee,nicee,Nicee...,4,Midy Jokerz,2019-10-31T07:09:55.912Z,Desa Wisata Setulang,Kalimantan Utara
Super sekali.,super,super,Super sekali.,5,Justin Ktt,2019-10-11T11:35:13.672Z,Desa Wisata Setulang,Kalimantan Utara
Objek wisata bagus,objek wisata bagus,objek wisata bagus,Objek wisata bagus,5,Stefanus Pratomo,2019-10-07T04:36:46.510Z,Desa Wisata Setulang,Kalimantan Utara
"Mungkin kalau pas ada acara di malam hari lebih bagus, siang hari lebih penat sangat.",pas acara malam bagus siang penat,pas acara malam bagus siang penat,"Mungkin kalau pas ada acara di malam hari lebih bagus, siang hari lebih penat sangat.",3,Roi Lonly,2019-09-28T09:19:53.231Z,Desa Wisata Setulang,Kalimantan Utara
Balai adat dayak,balai adat dayak,balai adat dayak,Balai adat dayak,5,Medina Darka,2019-09-21T12:29:39.102Z,Desa Wisata Setulang,Kalimantan Utara
Karena desa andalan saya,desa andalan,desa andal,Karena desa andalan saya,5,Alek Fankurin,2019-09-12T03:27:44.891Z,Desa Wisata Setulang,Kalimantan Utara
Desa wisata Setulang memiliki daya tarik tersendiri dgn atraksi seni budayanya dan obyek wisata alamnya yg indah dan alami dg hutan desa yg virgin didalamnya masih dpt kita temukan pohon pohon besar sembari menyusuri anak sungai dg trekking menikmati sejuknya udara dan indahnya pemandangan alam.,desa wisata setulang memiliki daya tarik tersendiri atraksi seni budayanya obyek wisata alamnya indah alami hutan desa virgin didalamnya temukan pohon pohon sembari menyusuri anak sungai trekking menikmati sejuknya udara indahnya pemandangan alam,desa wisata tulang milik daya tarik sendiri atraksi seni budaya obyek wisata alam indah alami hutan desa virgin dalam temu pohon pohon sembari susur anak sungai trekking nikmat sejuk udara indah pandang alam,Desa wisata Setulang memiliki daya tarik tersendiri dgn atraksi seni budayanya dan obyek wisata alamnya yg indah dan alami dg hutan desa yg virgin didalamnya masih dpt kita temukan pohon pohon besar sembari menyusuri anak sungai dg trekking menikmati sejuknya udara dan indahnya pemandangan alam.,4,P. C. S,2019-09-04T00:06:22.412Z,Desa Wisata Setulang,Kalimantan Utara
Mantap boy,mantap boy,mantap boy,Mantap boy,5,Lotong Moezza,2019-09-03T17:13:54.561Z,Desa Wisata Setulang,Kalimantan Utara
Luar biasa Sangat Indah,indah,indah,Luar biasa Sangat Indah,5,Cen Cen Vlog,2019-08-19T13:34:42.285Z,Desa Wisata Setulang,Kalimantan Utara
Oke lah,oke,oke,Oke lah,5,Daniel Daring Balang,2019-07-26T02:44:48.162Z,Desa Wisata Setulang,Kalimantan Utara
"desanya bersih, nyaman...seru kalo lg ada acara2 adat",desanya bersih nyaman seru kalo acara adat,desa bersih nyaman seru kalo acara adat,"desanya bersih, nyaman...seru kalo lg ada acara2 adat",5,Stefano Evans,2019-07-23T16:25:49.610Z,Desa Wisata Setulang,Kalimantan Utara
Desa wisata yg super unik. Harus datang bagi yang suka wisata budaya dan alam,desa wisata super unik suka wisata budaya alam,desa wisata super unik suka wisata budaya alam,Desa wisata yg super unik. Harus datang bagi yang suka wisata budaya dan alam,5,Helmy Setiabudi,2019-07-05T03:47:06.800Z,Desa Wisata Setulang,Kalimantan Utara
Best forestry,best forestry,best forestry,Best forestry,5,Nobriel Pagun,2019-06-30T17:18:24.461Z,Desa Wisata Setulang,Kalimantan Utara
Sangat baik hati indah suasana Alam,hati indah suasana alam,hati indah suasana alam,Sangat baik hati indah suasana Alam,5,Markus Yuteng,2019-06-19T05:44:09.978Z,Desa Wisata Setulang,Kalimantan Utara
Desa wisata setulang luar biada.bersih dan ramah.,desa wisata setulang biada bersih ramah,desa wisata tulang biada bersih ramah,Desa wisata setulang luar biada.bersih dan ramah.,5,DAUD PANGUT,2019-06-10T23:32:25.358Z,Desa Wisata Setulang,Kalimantan Utara
Desa wisata adat dan wisata alam,desa wisata adat wisata alam,desa wisata adat wisata alam,Desa wisata adat dan wisata alam,5,wiliam gerson,2019-06-09T07:12:13.194Z,Desa Wisata Setulang,Kalimantan Utara
Suasana yg asri warga nya yang Ramah....seni budaya yang bagus wajib untuk dikunjungi.,suasana asri warga ramah seni budaya bagus wajib dikunjungi,suasana asri warga ramah seni budaya bagus wajib kunjung,Suasana yg asri warga nya yang Ramah....seni budaya yang bagus wajib untuk dikunjungi.,4,Hunter A88,2019-06-07T05:45:10.136Z,Desa Wisata Setulang,Kalimantan Utara
Nice trip,nice trip,nice trip,Nice trip,4,heppryn widiasto,2019-06-05T10:55:06.426Z,Desa Wisata Setulang,Kalimantan Utara
Sangat indah dan baguss,indah bagus,indah bagus,Sangat indah dan baguss,5,Hagai Laing,2019-06-01T14:02:28.148Z,Desa Wisata Setulang,Kalimantan Utara
"Desa Wisata Yang mudahan semakin maju
.....",desa wisata mudahan maju,desa wisata mudah maju,"Desa Wisata Yang mudahan semakin maju
.....",5,Ran Dofa,2019-05-31T20:31:36.795Z,Desa Wisata Setulang,Kalimantan Utara
tempat nyaman dan masih alami,nyaman alami,nyaman alami,tempat nyaman dan masih alami,5,Esau Tapa Palintong,2019-05-16T02:51:06.360Z,Desa Wisata Setulang,Kalimantan Utara
mantap dan luar biasa,mantap,mantap,mantap dan luar biasa,5,Abdul Rahman,2019-04-26T15:53:47.898Z,Desa Wisata Setulang,Kalimantan Utara
