review,cleaned_review,cleaned_review_stemmed,review_text,rating,author,date,nama desa wisata,provinsi
Bagus,bagus,bagus,Bagus,5,Adny Nizomi,2023-12-08T02:09:04.374Z,Kampung Ketupat,Kalimantan Selatan
"Tmptnya lumayan bgus tuk fto""..sntai""..ga blh bwa mknn dn mnumn hrus bli ddlm area..tiket cm 5rb per org..tuk mknn mnumn ckup mrogoh kocek..trllu mhal..biar rame pngunjung hrga mknn mnumn tlong disesuaikn ajalh",tmptnya lumayan bagus foto sntai bwa mknn mnumn beli area tiket ribu mknn mnumn mrogoh kocek trllu mhal biar rame pngunjung hrga mknn mnumn tlong disesuaikn ajalh,tmptnya lumayan bagus foto sntai bwa mknn mnumn beli area tiket ribu mknn mnumn mrogoh kocek trllu mhal biar rame pngunjung hrga mknn mnumn tlong disesuaikn ajalh,"Tmptnya lumayan bgus tuk fto""..sntai""..ga blh bwa mknn dn mnumn hrus bli ddlm area..tiket cm 5rb per org..tuk mknn mnumn ckup mrogoh kocek..trllu mhal..biar rame pngunjung hrga mknn mnumn tlong disesuaikn ajalh",5,Liesya Kuza,2023-12-05T04:51:12.031Z,Kampung Ketupat,Kalimantan Selatan
"Kesini biaya masuk kemaren cuma Rp. 5.000, anak di bawah 5 tahun gratis.

Tempatnya ikonik, bersih, ada jual makanan juga, spot foto bagus.

Mungkin bisa ditingkatkan lagi soal perawatan rumput-rumput liarnya.",kesini biaya kemarin rp anak tahun gratis tempatnya ikonik bersih jual makanan spot foto bagus ditingkatkan perawatan rumput rumput liarnya,kesini biaya kemarin rp anak tahun gratis tempat ikonik bersih jual makan spot foto bagus tingkat awat rumput rumput liar,"Kesini biaya masuk kemaren cuma Rp. 5.000, anak di bawah 5 tahun gratis.

Tempatnya ikonik, bersih, ada jual makanan juga, spot foto bagus.

Mungkin bisa ditingkatkan lagi soal perawatan rumput-rumput liarnya.",4,Bobby Ashshiddiq,2023-12-02T22:09:36.998Z,Kampung Ketupat,Kalimantan Selatan
"Gak pernah msk k sini, cuman makan bakaran aja di warung seberang jalan 🤭",kak cuman makan bakaran warung seberang jalan,kak cuman makan bakar warung seberang jalan,"Gak pernah msk k sini, cuman makan bakaran aja di warung seberang jalan 🤭",4,Joe JR,2023-11-18T06:25:39.086Z,Kampung Ketupat,Kalimantan Selatan
Biasa saja tidak ada yang menarik,menarik,tarik,Biasa saja tidak ada yang menarik,4,Rahma wati,2023-11-17T12:16:46.899Z,Kampung Ketupat,Kalimantan Selatan
"tempatnya bagus, adem, cuman mulai dtumbuhi bnyak rumput, harus d bersihkan secara berkala",tempatnya bagus adem cuman dtumbuhi rumput bersihkan berkala,tempat bagus adem cuman dtumbuhi rumput sih kala,"tempatnya bagus, adem, cuman mulai dtumbuhi bnyak rumput, harus d bersihkan secara berkala",5,Sya. aell,2023-11-09T00:09:30.416Z,Kampung Ketupat,Kalimantan Selatan
"Sangat mnyenangkan berkunjung dikampung ketupat , lingkungan bersih dan enak untuk nongkrong bersama keluarga🫶🏻🥰",mnyenangkan berkunjung dikampung ketupat lingkungan bersih nongkrong keluarga,mnyenangkan kunjung kampung ketupat lingkung bersih nongkrong keluarga,"Sangat mnyenangkan berkunjung dikampung ketupat , lingkungan bersih dan enak untuk nongkrong bersama keluarga🫶🏻🥰",5,Ayu Yayu,2023-11-06T03:41:25.508Z,Kampung Ketupat,Kalimantan Selatan
Tambahin lagi arena bermain mya Biar Tidak sia sia tempat bermain dan Hiburanya,tambahkan arena bermain mya biar sia sia bermain hiburanya,tambah arena main mya biar sia sia main hiburanya,Tambahin lagi arena bermain mya Biar Tidak sia sia tempat bermain dan Hiburanya,5,Imam Akbar,2023-11-02T04:35:34.219Z,Kampung Ketupat,Kalimantan Selatan
harga masuk terjangkau dengan voucher 5.000 dan pemandangannya juga indah💗💗💗💗💗,harga terjangkau voucher pemandangannya indah,harga jangkau voucher pandang indah,harga masuk terjangkau dengan voucher 5.000 dan pemandangannya juga indah💗💗💗💗💗,5,Evita Sharfina Setyani,2023-10-31T09:32:22.607Z,Kampung Ketupat,Kalimantan Selatan
"Tempat bagus nyaman juga, hanya saja di WC tidak ada cermin dan juga tidak bisa membawa makanan luar ke dalam. Tapi makanan yang di jual di dalam juga sudah banyak dan enak.",bagus nyaman wc cermin membawa makanan makanan jual,bagus nyaman wc cermin bawa makan makan jual,"Tempat bagus nyaman juga, hanya saja di WC tidak ada cermin dan juga tidak bisa membawa makanan luar ke dalam. Tapi makanan yang di jual di dalam juga sudah banyak dan enak.",4,Zahiya,2023-10-31T09:08:27.614Z,Kampung Ketupat,Kalimantan Selatan
